Actual Duration 1.03 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
06/21/14, 19:31:22, 1262, 1359, 1294, 1294, 237, 233, 250, 245, 171, 97, 0, 75,13.8,2.6,2.6,
06/21/14, 19:31:28, 1262, 1359, 1294, 1294, 237, 233, 250, 245, 171, 97, 0, 75,13.8,2.6,2.6,
06/21/14, 19:31:34, 1257, 1371, 1299, 1302, 240, 237, 255, 248, 171, 114, 0, 75,13.8,2.6,2.6,
06/21/14, 19:31:40, 1267, 1371, 1306, 1310, 244, 240, 260, 251, 171, 104, 0, 75,13.8,2.6,2.6,
06/21/14, 19:31:46, 1290, 1365, 1324, 1319, 248, 244, 265, 255, 173, 75, 0, 75,13.8,2.6,2.6,
06/21/14, 19:31:52, 1284, 1380, 1331, 1326, 251, 247, 270, 259, 173, 96, 0, 75,13.8,2.6,2.6,
06/21/14, 19:31:58, 1316, 1390, 1331, 1326, 254, 250, 274, 262, 173, 74, 0, 75,13.8,2.6,2.6,
06/21/14, 19:32:04, 1285, 1409, 1339, 1336, 258, 254, 279, 266, 173, 124, 0, 75,13.8,2.6,2.6,
06/21/14, 19:32:10, 1189, 1326, 1293, 1261, 260, 256, 282, 269, 173, 137, 0, 75,13.8,2.4,2.6,
06/21/14, 19:32:16, 1286, 1369, 1316, 1306, 262, 259, 286, 272, 175, 83, 0, 75,13.8,2.4,2.6,
06/21/14, 19:32:22, 1276, 1384, 1331, 1327, 265, 261, 289, 274, 175, 108, 0, 75,13.8,2.4,2.6,
06/21/14, 19:32:28, 1270, 1375, 1331, 1327, 267, 264, 292, 277, 175, 105, 0, 75,13.8,2.4,2.6,
06/21/14, 19:32:34, 1295, 1394, 1339, 1342, 270, 266, 295, 280, 175, 99, 0, 75,13.8,2.4,2.6,
06/21/14, 19:32:40, 1261, 1388, 1339, 1313, 272, 269, 298, 282, 175, 127, 0, 77,13.8,2.7,2.6,
06/21/14, 19:32:46, 1269, 1382, 1333, 1343, 272, 269, 301, 285, 175, 113, 0, 77,13.8,2.7,2.6,
06/21/14, 19:32:52, 1285, 1401, 1341, 1348, 274, 271, 304, 285, 175, 116, 0, 77,13.8,2.7,2.6,
06/21/14, 19:32:58, 1312, 1389, 1351, 1353, 276, 271, 306, 288, 177, 77, 0, 77,13.8,2.7,2.6,
06/21/14, 19:33:04, 1317, 1356, 1351, 1366, 276, 274, 308, 288, 177, 49, 0, 77,13.8,2.7,2.6,
06/21/14, 19:33:10, 1345, 1407, 1367, 1366, 279, 274, 311, 291, 177, 62, 0, 77,13.8,2.7,2.6,
06/21/14, 19:33:16, 1345, 1407, 1367, 1346, 279, 276, 313, 291, 177, 62, 0, 77,13.8,2.7,2.6,
06/21/14, 19:33:22, 1345, 1392, 1360, 1354, 282, 276, 315, 294, 177, 47, 0, 77,13.8,2.7,2.6,
06/21/14, 19:33:28, 1326, 1353, 1371, 1359, 282, 278, 317, 294, 177, 45, 0, 77,13.8,2.7,2.6,
06/21/14, 19:33:34, 1335, 1403, 1380, 1369, 282, 278, 319, 297, 177, 68, 0, 79,13.8,2.7,2.6,
06/21/14, 19:33:40, 1343, 1360, 1358, 1378, 284, 280, 321, 297, 177, 35, 0, 79,13.8,2.7,2.6,
06/21/14, 19:33:46, 1361, 1417, 1358, 1378, 286, 280, 321, 300, 177, 59, 0, 79,13.8,2.5,2.6,
06/21/14, 19:33:52, 1361, 1417, 1358, 1378, 286, 283, 324, 302, 179, 59, 0, 79,13.8,2.5,2.6,
06/21/14, 19:33:58, 1366, 1407, 1347, 1378, 289, 286, 326, 304, 179, 60, 0, 79,13.8,2.5,2.6,
06/21/14, 19:34:04, 1326, 1396, 1335, 1356, 291, 286, 328, 306, 179, 70, 0, 79,13.8,1.9,2.6,
06/21/14, 19:34:10, 1279, 1349, 1329, 1340, 291, 288, 328, 306, 179, 70, 0, 79,13.8,1.9,2.6,
06/21/14, 19:34:16, 1258, 1323, 1292, 1325, 291, 288, 330, 308, 179, 67, 0, 79,13.8,1.9,2.6,
06/21/14, 19:34:22, 1241, 1312, 1315, 1325, 293, 290, 332, 308, 181, 84, 0, 79,13.8,1.9,2.6,
06/21/14, 19:34:28, 1281, 1312, 1306, 1335, 293, 290, 332, 310, 181, 54, 0, 79,13.8,1.9,2.6,
06/21/14, 19:34:34, 1235, 1312, 1314, 1320, 293, 290, 334, 310, 181, 85, 0, 79,13.8,1.9,2.6,
06/21/14, 19:34:40, 1218, 1312, 1298, 1290, 295, 292, 334, 312, 181, 94, 0, 79,13.8,1.9,2.6,
06/21/14, 19:34:46, 1232, 1312, 1305, 1303, 295, 292, 334, 312, 181, 80, 0, 79,13.8,1.9,2.8,
06/21/14, 19:34:52, 1218, 1305, 1296, 1285, 295, 292, 336, 314, 181, 87, 0, 79,13.8,1.9,2.8,
06/21/14, 19:34:58, 1249, 1284, 1296, 1291, 295, 294, 336, 314, 181, 47, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:04, 1222, 1307, 1310, 1297, 297, 294, 338, 314, 181, 88, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:10, 1248, 1285, 1303, 1307, 297, 294, 338, 316, 181, 59, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:16, 1239, 1296, 1288, 1288, 297, 296, 338, 316, 181, 57, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:22, 1244, 1296, 1236, 1282, 297, 296, 340, 316, 181, 60, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:28, 1244, 1330, 1288, 1282, 299, 296, 340, 316, 181, 86, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:34, 1228, 1361, 1295, 1307, 299, 298, 340, 316, 181, 133, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:40, 1250, 1366, 1295, 1301, 299, 298, 342, 318, 181, 116, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:46, 1245, 1315, 1295, 1290, 301, 298, 342, 318, 181, 70, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:52, 1268, 1368, 1309, 1313, 301, 300, 342, 318, 181, 100, 0, 79,13.8,1.9,2.8,
06/21/14, 19:35:58, 1227, 1352, 1297, 1295, 301, 300, 344, 318, 181, 125, 0, 79,13.8,1.9,2.8,
06/21/14, 19:36:04, 1258, 1281, 1290, 1262, 303, 300, 344, 320, 181, 32, 0, 79,13.8,1.9,2.8,
