Actual Duration 0.56 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
05/18/14, 21:20:30, 1190, 1322, 1248, 1245, 147, 144, 153, 147, 140, 132, 0, 68,13.8,2.2,28.7,
05/18/14, 21:20:36, 1201, 1322, 1257, 1256, 147, 144, 153, 147, 140, 121, 0, 68,13.8,2.2,28.7,
05/18/14, 21:20:42, 1210, 1322, 1281, 1264, 154, 151, 160, 154, 140, 112, 0, 68,13.8,2.2,28.7,
05/18/14, 21:20:48, 1173, 1334, 1263, 1270, 159, 155, 167, 159, 140, 161, 0, 68,13.8,2.2,28.7,
05/18/14, 21:20:54, 1198, 1357, 1255, 1270, 165, 161, 174, 165, 140, 159, 0, 68,13.8,2.2,28.7,
05/18/14, 21:21:00, 1247, 1357, 1280, 1283, 170, 166, 180, 170, 140, 110, 0, 68,13.8,2.2,28.7,
05/18/14, 21:21:06, 1259, 1370, 1305, 1306, 175, 171, 186, 175, 140, 111, 0, 68,13.8,2.2,28.7,
05/18/14, 21:21:12, 1259, 1391, 1293, 1301, 180, 176, 193, 180, 140, 132, 0, 68,13.8,2.2,28.7,
05/18/14, 21:21:18, 1259, 1333, 1303, 1312, 185, 180, 198, 185, 140, 74, 0, 68,13.8,2.2,28.7,
05/18/14, 21:21:24, 1270, 1387, 1303, 1319, 190, 185, 204, 190, 140, 117, 0, 68,13.8,2.2,28.7,
05/18/14, 21:21:30, 1214, 1199, 1268, 1268, 195, 189, 210, 195, 140, 69, 0, 68,13.8,2.2,28.7,
05/18/14, 21:21:36, 1195, 1222, 1277, 1257, 199, 192, 215, 199, 140, 82, 0, 68,13.8,4.7,28.7,
05/18/14, 21:21:42, 1261, 1365, 1302, 1295, 203, 197, 221, 203, 140, 104, 0, 68,13.8,3.0,28.7,
05/18/14, 21:21:48, 1339, 1407, 1317, 1343, 209, 202, 226, 208, 140, 90, 0, 68,13.8,2.8,28.7,
05/18/14, 21:21:54, 1356, 1422, 1332, 1355, 214, 207, 231, 213, 140, 90, 0, 68,13.8,2.3,28.7,
05/18/14, 21:22:00, 1350, 1432, 1332, 1343, 219, 211, 237, 218, 140, 100, 0, 68,13.8,2.3,28.7,
05/18/14, 21:22:06, 1336, 1402, 1338, 1352, 225, 216, 242, 222, 140, 66, 0, 68,13.8,2.3,28.7,
05/18/14, 21:22:12, 1346, 1435, 1322, 1352, 229, 219, 246, 227, 142, 113, 0, 68,13.8,2.3,28.7,
05/18/14, 21:22:18, 1346, 1425, 1322, 1337, 233, 223, 251, 231, 142, 103, 0, 68,13.8,2.3,28.7,
05/18/14, 21:22:24, 1326, 1415, 1336, 1337, 236, 227, 255, 235, 142, 89, 0, 70,13.8,2.3,28.7,
05/18/14, 21:22:30, 1332, 1428, 1323, 1307, 240, 231, 260, 239, 142, 121, 0, 70,13.8,2.3,28.7,
05/18/14, 21:22:36, 1305, 1428, 1335, 1307, 243, 234, 264, 243, 144, 123, 0, 70,13.8,2.3,28.7,
05/18/14, 21:22:42, 1305, 1331, 1284, 1293, 246, 237, 267, 246, 144, 47, 0, 70,13.8,1.4,28.7,
05/18/14, 21:22:48, 1181, 1272, 1276, 1223, 248, 237, 271, 249, 146, 95, 0, 70,13.8,1.4,28.7,
05/18/14, 21:22:54, 1224, 1189, 1267, 1239, 250, 240, 273, 252, 146, 78, 0, 70,13.8,1.4,28.7,
05/18/14, 21:23:00, 1136, 1181, 1220, 1197, 253, 242, 276, 254, 146, 84, 0, 70,13.8,4.6,28.7,
05/18/14, 21:23:06, 1324, 1370, 1380, 1351, 257, 246, 278, 257, 146, 56, 0, 70,13.8,4.8,28.7,
05/18/14, 21:23:12, 1366, 1392, 1374, 1387, 263, 254, 283, 263, 146, 26, 0, 70,13.8,6.4,28.7,
05/18/14, 21:23:18, 1383, 1411, 1391, 1399, 269, 261, 288, 268, 146, 28, 0, 70,13.8,6.0,28.7,
05/18/14, 21:23:24, 1358, 1379, 1344, 1363, 275, 268, 293, 273, 146, 35, 0, 70,13.8,3.7,28.9,
05/18/14, 21:23:30, 1353, 1395, 1327, 1352, 280, 271, 299, 278, 148, 68, 0, 70,13.8,3.5,28.9,
05/18/14, 21:23:36, 1353, 1404, 1327, 1352, 283, 275, 303, 283, 148, 77, 0, 70,13.8,3.5,28.9,
05/18/14, 21:23:42, 1353, 1410, 1320, 1352, 287, 278, 307, 287, 150, 90, 0, 70,13.8,3.5,28.9,
05/18/14, 21:23:48, 1353, 1418, 1331, 1358, 290, 282, 310, 291, 150, 87, 0, 70,13.8,2.8,28.9,
05/18/14, 21:23:54, 1367, 1418, 1331, 1366, 293, 284, 313, 294, 152, 87, 0, 70,13.8,2.8,28.9,
05/18/14, 21:24:00, 1377, 1430, 1336, 1366, 295, 287, 316, 297, 152, 94, 0, 70,13.8,2.8,28.9,
05/18/14, 21:24:06, 1364, 1422, 1353, 1366, 298, 290, 318, 300, 154, 69, 0, 70,13.8,10.5,28.9,
05/18/14, 21:24:12, 1311, 1329, 1311, 1335, 303, 298, 320, 305, 154, 24, 0, 70,13.8,18.4,28.9,
05/18/14, 21:24:18, 1302, 1313, 1316, 1335, 310, 307, 323, 311, 154, 33, 0, 68,13.8,18.4,28.9,
05/18/14, 21:24:24, 1302, 1318, 1322, 1335, 316, 315, 328, 317, 154, 33, 0, 68,13.8,18.6,28.9,
05/18/14, 21:24:30, 1308, 1318, 1327, 1335, 323, 323, 334, 323, 156, 27, 0, 66,13.8,18.6,28.9,
05/18/14, 21:24:36, 1313, 1325, 1332, 1346, 328, 330, 339, 329, 156, 33, 0, 66,13.8,18.2,28.9,
05/18/14, 21:24:42, 1307, 1320, 1315, 1330, 332, 335, 343, 334, 159, 23, 0, 64,13.8,17.2,29.1,
05/18/14, 21:24:48, 1300, 1309, 1306, 1321, 337, 341, 347, 338, 162, 21, 0, 64,13.8,17.2,29.1,
05/18/14, 21:24:54, 1292, 1309, 1306, 1321, 340, 344, 349, 342, 165, 29, 0, 62,13.8,17.2,29.1,
05/18/14, 21:25:00, 1292, 1301, 1294, 1312, 342, 347, 349, 344, 167, 20, 0, 62,13.8,17.2,29.1,
05/18/14, 21:25:06, 1285, 1301, 1294, 1312, 342, 347, 351, 346, 170, 27, 0, 60,13.8,17.2,29.1,
05/18/14, 21:25:12, 1285, 1301, 1294, 1312, 344, 350, 351, 346, 172, 27, 0, 60,13.8,17.0,29.1,
05/18/14, 21:25:18, 1279, 1294, 1289, 1312, 344, 352, 351, 348, 175, 33, 0, 60,13.8,17.0,29.1,
05/18/14, 21:25:24, 1279, 1294, 1289, 1305, 344, 352, 351, 348, 177, 26, 0, 60,13.8,17.0,29.3,
05/18/14, 21:25:30, 1272, 1288, 1283, 1305, 344, 352, 351, 348, 179, 33, 0, 58,13.8,17.0,29.3,
05/18/14, 21:25:36, 1272, 1288, 1283, 1300, 344, 352, 351, 348, 182, 28, 0, 58,13.8,17.0,29.3,
05/18/14, 21:25:42, 1272, 1288, 1283, 1300, 344, 352, 349, 348, 182, 28, 0, 58,13.8,16.8,29.3,
05/18/14, 21:25:48, 1272, 1288, 1283, 1300, 344, 350, 349, 348, 185, 28, 0, 58,13.8,17.0,29.3,
05/18/14, 21:25:54, 1272, 1288, 1283, 1300, 344, 350, 349, 348, 185, 28, 0, 58,13.8,17.0,29.3,
05/18/14, 21:26:00, 1267, 1288, 1283, 1300, 342, 350, 347, 348, 185, 33, 0, 58,13.8,16.7,29.3,
05/18/14, 21:26:06, 1267, 1281, 1278, 1300, 342, 350, 347, 348, 185, 33, 0, 58,13.8,16.7,29.5,
05/18/14, 21:26:12, 1260, 1281, 1272, 1290, 342, 348, 345, 348, 185, 30, 0, 56,13.8,16.7,29.5,
05/18/14, 21:26:18, 1260, 1281, 1272, 1290, 342, 348, 345, 348, 185, 30,-10, 56,13.8,16.7,29.5,
05/18/14, 21:26:24, 1260, 1281, 1272, 1285, 339, 346, 343, 348, 185, 25,-10, 56,13.8,16.7,29.5,
05/18/14, 21:26:30, 1254, 1272, 1272, 1285, 339, 346, 343, 346, 185, 31,-10, 56,13.8,16.9,29.5,
05/18/14, 21:26:36, 1254, 1272, 1263, 1285, 337, 343, 340, 346, 185, 31,-12, 56,13.8,16.7,29.5,
05/18/14, 21:26:42, 1254, 1272, 1263, 1280, 335, 343, 340, 344, 185, 26,-14, 56,13.8,16.7,29.5,
05/18/14, 21:26:48, 1254, 1272, 1268, 1280, 335, 341, 338, 344, 185, 26,-14, 56,13.8,16.3,29.7,
05/18/14, 21:26:54, 1282, 1306, 1300, 1314, 335, 341, 336, 342, 185, 32,-14, 56,13.8,15.7,29.7,
05/18/14, 21:27:00, 1290, 1312, 1305, 1324, 333, 339, 336, 342, 185, 34, 0, 56,13.8,15.4,29.7,
05/18/14, 21:27:06, 1290, 1312, 1313, 1338, 333, 339, 334, 342, 185, 48, 0, 56,13.8,15.2,29.7,
05/18/14, 21:27:12, 1298, 1312, 1313, 1345, 333, 337, 334, 342, 185, 47, 0, 56,13.8,15.2,29.7,
05/18/14, 21:27:18, 1298, 1318, 1320, 1351, 333, 337, 334, 342, 185, 53, 0, 54,13.8,14.9,29.7,
05/18/14, 21:27:24, 1308, 1318, 1329, 1351, 333, 337, 334, 340, 185, 43, 0, 54,13.8,14.5,29.7,
05/18/14, 21:27:30, 1308, 1323, 1329, 1356, 333, 337, 334, 340, 185, 48, 0, 54,13.8,14.5,29.7,
05/18/14, 21:27:36, 1308, 1323, 1329, 1356, 333, 337, 334, 340, 185, 48, 0, 54,13.8,14.5,29.9,
05/18/14, 21:27:42, 1308, 1323, 1329, 1356, 333, 335, 334, 342, 185, 48, 0, 54,13.8,14.5,29.9,
05/18/14, 21:27:48, 1308, 1323, 1329, 1356, 333, 335, 334, 342, 185, 48, 0, 54,13.8,14.5,29.9,
05/18/14, 21:27:54, 1308, 1323, 1329, 1356, 331, 335, 334, 342, 185, 48, 0, 54,13.8,14.3,29.9,
05/18/14, 21:28:00, 1308, 1323, 1334, 1356, 331, 335, 334, 342, 185, 48, 0, 54,13.8,14.3,29.9,
05/18/14, 21:28:06, 1313, 1323, 1340, 1361, 331, 335, 334, 342, 185, 48, 0, 54,13.8,14.1,29.9,
05/18/14, 21:28:12, 1313, 1329, 1340, 1361, 331, 335, 334, 342, 185, 48, 0, 54,13.8,14.3,29.9,
05/18/14, 21:28:18, 1313, 1329, 1340, 1361, 331, 335, 334, 342, 187, 48, 0, 54,13.8,14.1,29.9,
05/18/14, 21:28:24, 1313, 1329, 1334, 1361, 331, 333, 334, 342, 187, 48, 0, 54,13.8,14.1,30.1,
05/18/14, 21:28:30, 1308, 1329, 1334, 1361, 331, 333, 334, 342, 187, 53, 0, 54,13.8,14.1,30.1,
05/18/14, 21:28:36, 1308, 1329, 1334, 1361, 331, 333, 334, 342, 187, 53, 0, 54,13.8,14.3,30.1,
05/18/14, 21:28:42, 1308, 1329, 1334, 1361, 331, 333, 334, 342, 187, 53, 0, 54,13.8,14.3,30.1,
05/18/14, 21:28:48, 1308, 1322, 1329, 1361, 331, 333, 334, 342, 187, 53, 0, 52,13.8,14.3,30.1,
05/18/14, 21:28:54, 1316, 1344, 1355, 1371, 331, 331, 334, 342, 187, 55, 0, 52,13.8,11.4,30.1,
05/18/14, 21:29:00, 1327, 1359, 1373, 1381, 329, 328, 332, 340, 187, 54, 0, 52,13.8,11.1,30.1,
05/18/14, 21:29:06, 1332, 1359, 1378, 1386, 329, 326, 332, 338, 187, 54,-11, 52,13.8,10.9,30.1,
05/18/14, 21:29:12, 1332, 1359, 1378, 1386, 326, 324, 330, 336, 187, 54,-15, 52,13.8,10.9,30.1,
05/18/14, 21:29:18, 1326, 1359, 1378, 1379, 326, 322, 330, 336, 187, 53,-15, 52,13.8,10.9,30.1,
05/18/14, 21:29:24, 1326, 1359, 1378, 1379, 324, 320, 327, 334, 187, 53,-15, 52,13.8,11.1,30.3,
