Actual Duration 0.50 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
06/07/14, 18:50:12, 1346, 1425, 1345, 1352, 196, 197, 215, 200, 127, 80, 0, 55,13.8,3.0,5.4,
06/07/14, 18:50:18, 1346, 1425, 1352, 1352, 196, 197, 215, 200, 127, 79, 0, 55,13.8,3.0,5.4,
06/07/14, 18:50:24, 1352, 1436, 1365, 1352, 201, 201, 222, 206, 127, 84, 0, 55,13.8,2.8,5.4,
06/07/14, 18:50:30, 1352, 1426, 1345, 1360, 205, 205, 226, 211, 127, 81, 0, 55,13.8,3.2,5.4,
06/07/14, 18:50:36, 1359, 1440, 1361, 1360, 210, 209, 232, 215, 129, 81, 0, 55,13.8,2.6,5.4,
06/07/14, 18:50:42, 1359, 1440, 1361, 1353, 213, 212, 236, 220, 129, 87, 0, 55,13.8,2.6,5.4,
06/07/14, 18:50:48, 1359, 1440, 1361, 1360, 216, 216, 240, 223, 131, 81, 0, 55,13.8,2.3,5.4,
06/07/14, 18:50:54, 1352, 1429, 1361, 1360, 220, 219, 244, 227, 131, 77, 0, 55,13.8,2.3,5.4,
06/07/14, 18:51:00, 1352, 1429, 1367, 1351, 222, 222, 248, 230, 133, 78, 0, 55,13.8,2.3,5.4,
06/07/14, 18:51:06, 1352, 1434, 1367, 1351, 225, 225, 252, 234, 133, 83, 0, 55,13.8,2.0,5.4,
06/07/14, 18:51:12, 1325, 1434, 1353, 1351, 227, 227, 255, 236, 135, 109, 0, 55,13.8,2.0,5.4,
06/07/14, 18:51:18, 1325, 1446, 1348, 1341, 227, 229, 258, 239, 135, 121, 0, 55,13.8,2.0,5.4,
06/07/14, 18:51:24, 1308, 1440, 1324, 1363, 230, 231, 260, 241, 135, 132, 0, 55,13.8,1.8,5.4,
06/07/14, 18:51:30, 1232, 1264, 1324, 1246, 232, 233, 263, 243, 137, 92, 0, 55,13.8,1.3,5.4,
06/07/14, 18:51:36, 1214, 1116, 1288, 1198, 232, 233, 265, 243, 137, 172, 0, 55,13.8,1.3,5.4,
06/07/14, 18:51:42, 1214, 1174, 1277, 1209, 232, 233, 265, 245, 139, 103, 0, 55,13.8,1.3,5.4,
06/07/14, 18:51:48, 1135, 1166, 1237, 1120, 232, 233, 267, 245, 139, 117, 0, 55,13.8,1.3,5.4,
06/07/14, 18:51:54, 1171, 1133, 1205, 1076, 232, 233, 267, 247, 139, 129, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:00, 1171, 1203, 1205, 1076, 234, 233, 269, 247, 139, 129, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:06, 1171, 1172, 1240, 1062, 234, 233, 269, 247, 139, 178, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:12, 1192, 1172, 1257, 1099, 234, 233, 271, 249, 139, 158, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:18, 1177, 1227, 1225, 1080, 236, 233, 271, 249, 141, 147, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:24, 1162, 1098, 1231, 1072, 236, 233, 273, 249, 141, 159, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:30, 1194, 1212, 1255, 1078, 236, 233, 273, 249, 141, 177, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:36, 1223, 1212, 1242, 1111, 236, 233, 275, 249, 141, 131, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:42, 1170, 1126, 1202, 1065, 236, 233, 275, 251, 143, 137, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:48, 1215, 1092, 1228, 1095, 238, 233, 277, 251, 143, 136, 0, 55,13.8,1.3,5.4,
06/07/14, 18:52:54, 1197, 1101, 1240, 1042, 238, 233, 277, 251, 143, 198, 0, 55,13.8,1.3,5.4,
