Actual Duration 0.55 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
04/20/14, 22:47:06, 1145, 1231, 1115, 1147, 100, 103, 104, 107, 125, 116, 0, 76,13.8,2.4,4.2,
04/20/14, 22:47:12, 1216, 1318, 1178, 1231, 104, 108, 108, 111, 125, 140, 0, 76,13.8,2.4,4.2,
04/20/14, 22:47:18, 1256, 1366, 1218, 1262, 109, 113, 114, 116, 125, 148, 0, 76,13.8,2.4,4.2,
04/20/14, 22:47:24, 1277, 1374, 1248, 1286, 115, 120, 121, 121, 125, 126, 0, 76,13.8,2.4,4.2,
04/20/14, 22:47:30, 1293, 1385, 1266, 1294, 121, 126, 127, 127, 123, 119, 0, 76,13.8,2.4,4.2,
04/20/14, 22:47:36, 1317, 1403, 1271, 1294, 127, 132, 134, 132, 123, 132, 0, 76,13.8,2.4,4.2,
04/20/14, 22:47:42, 1328, 1403, 1271, 1326, 133, 137, 141, 138, 123, 132, 0, 76,13.8,2.4,4.2,
04/20/14, 22:47:48, 1334, 1422, 1282, 1320, 139, 144, 148, 144, 123, 140, 0, 76,13.8,2.2,4.2,
04/20/14, 22:47:54, 1320, 1411, 1268, 1306, 146, 149, 155, 150, 123, 143, 0, 76,13.8,2.2,4.2,
04/20/14, 22:48:00, 1320, 1397, 1268, 1306, 151, 154, 162, 155, 123, 129, 0, 76,13.8,2.2,4.2,
04/20/14, 22:48:06, 1320, 1415, 1292, 1313, 157, 159, 168, 161, 123, 123, 0, 76,13.8,2.2,4.2,
04/20/14, 22:48:12, 1307, 1392, 1292, 1320, 163, 164, 175, 166, 123, 100, 0, 76,13.8,2.2,4.2,
04/20/14, 22:48:18, 1307, 1418, 1313, 1336, 168, 169, 181, 171, 125, 111, 0, 76,13.8,2.2,4.2,
04/20/14, 22:48:24, 1324, 1433, 1291, 1305, 174, 174, 187, 177, 125, 142, 0, 76,13.8,2.2,4.2,
04/20/14, 22:48:30, 1273, 1408, 1297, 1313, 179, 179, 192, 181, 125, 135, 0, 76,13.8,2.2,4.2,
04/20/14, 22:48:36, 1309, 1369, 1277, 1327, 183, 183, 198, 186, 125, 92, 0, 76,13.8,2.2,4.2,
04/20/14, 22:48:42, 1292, 1406, 1296, 1327, 189, 187, 203, 191, 125, 114, 0, 76,13.8,2.2,4.2,
