Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
15-Jan-2015 16:11:41.158,-2.50911975,0.22983846,8.52335167,-0.07498872,858.5,0.00361189,-,-0.07002769,-0.3065353,0.7776292,0.00780933,-,0,-,-,-,-
15-Jan-2015 16:11:42.141,-3.11245418,0.12449542,9.2033062,0.00943393,1067.75,0.00361189,-,-0.07865056,-0.31727362,0.83815557,0.01269066,3.33999991,0,-,-,-,-
15-Jan-2015 16:11:43.138,-2.48996735,0.12449542,8.59997177,-0.06825322,1067.75,0.00361189,-,-0.08019575,-0.30555961,0.76689088,0.02440566,3.31999993,0,-,-,-,-
15-Jan-2015 16:11:44.146,-2.28885245,0.3351815,8.71488571,-0.06767592,1057.75,0.00556063,-,-0.14233799,-0.2713913,0.71319818,0.011714,3.30999994,0,-,-,-,-
15-Jan-2015 16:11:45.138,-3.34230256,0.47883913,8.28393269,-0.06562411,1053.75,0.00556063,-,-0.06991035,-0.31825027,0.77177221,0.05662065,3.30999994,0,-,-,-,-
15-Jan-2015 16:11:46.137,-2.60489154,0,8.80107594,-0.0453757,1047.5,0.00556063,-,-0.08853512,-0.29677361,0.76103383,0.02733366,3.30999994,0,-,-,-,-
15-Jan-2015 16:11:47.139,-3.04541612,0.09576194,9.35653496,0.02207297,1035.75,0.00561103,-,-0.06096939,-0.31336895,0.78251052,0.06443099,3.33999991,0,-,-,-,-
15-Jan-2015 16:11:48.141,-2.48038626,0.90979236,7.81467438,-0.14010376,1035.75,0.00574542,-,-0.1588165,-0.25284263,0.69660288,0.09274132,3.42000008,0,-,-,-,-
15-Jan-2015 16:11:49.143,-2.43250036,0.13406672,7.18259668,-0.06664558,894.5,0.00557743,-,-0.00749737,-0.24893795,0.85963219,0.03904866,3.31999993,0,-,-,-,-
15-Jan-2015 16:11:50.139,-2.57615805,0.44052455,8.45631409,-0.07875919,923.25,0.00557743,-,-0.11399478,-0.27236694,0.74248523,0.02245233,3.31999993,0,-,-,-,-
15-Jan-2015 16:11:51.141,-2.44208145,0.61291564,7.40286398,-0.18392324,977.25,0.00561103,-,-0.21580909,-0.25577164,0.63900453,0.06247865,3.33999991,0,-,-,-,-
15-Jan-2015 16:11:52.138,-3.11245418,0.63206804,7.26878738,-0.17240185,982,0.00557743,-,0.02131093,-0.34851295,0.85963219,-0.002928,3.31999993,0,-,-,-,-
15-Jan-2015 16:11:53.137,-2.49953866,0.35433388,7.99662685,-0.0599768,869.5,0.00616541,-,-0.08363261,-0.3036063,0.76396185,-0.023429,3.67000008,0,-,-,-,-
15-Jan-2015 16:11:54.141,-2.32715726,0.55544865,7.97747469,-0.09094884,869.5,0.00611501,-,-0.04517359,-0.23722295,0.71319818,0.05662065,3.6400001,0,-,-,-,-
15-Jan-2015 16:11:55.140,-2.26970029,-0.23941956,9.3756876,0.00263661,639,0.00752617,18.19142914,-0.01602736,-0.23136598,0.85572755,-0.02440566,4.48000002,2.48548484,-,-,-,-
15-Jan-2015 16:11:56.140,-3.34230256,-0.45010564,7.55609274,-0.13751924,1489,0.00752617,5.91340685,-0.04121876,-0.30263063,0.80789286,-0.05271599,4.48000002,3.72822714,-,-,-,-
15-Jan-2015 16:11:57.137,-4.29998064,0.02872368,7.78594112,-0.07432657,951.5,0.01414516,12.21684074,-0.06086815,-0.49690026,0.69464952,-0.05466833,8.42000008,4.97096968,-,-,-,-
15-Jan-2015 16:11:58.140,-3.57214093,0.23941956,8.70531464,-0.02812163,1589.75,0.01757226,12.21684074,-0.06792089,-0.3963486,0.74248523,0.03611966,10.46000004,4.97096968,-,-,-,-
15-Jan-2015 16:11:59.147,-4.7117815,0.94809717,10.86967182,0.23050302,1954.5,0.01896661,39.19335938,-0.09410305,-0.29384461,0.75615251,0.02733366,11.28999996,8.69919682,-,-,-,-
15-Jan-2015 16:12:00.138,-3.0166924,0.10534304,8.8106575,-0.03162301,1954.5,0.01779065,27.03011703,-0.09392477,-0.28701094,0.75908154,0.00390467,10.59000015,11.18468189,-,-,-,-
15-Jan-2015 16:12:01.151,-1.13963079,0.53629631,7.5752449,-0.19820303,2169.5,0.00687099,13.2535944,-0.00957841,-0.20598362,0.86841917,0,4.09000015,12.42742348,-,-,-,-
