Actual Duration 0.05 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
06/29/14, 17:06:36, 1178, 1291, 1158, 1177, 76, 81, 71, 76, 63, 133, 0, 65,13.8,2.9,13.7,
06/29/14, 17:06:42, 1188, 1298, 1170, 1187, 76, 81, 71, 76, 63, 128, 0, 65,13.8,2.9,13.7,
06/29/14, 17:06:48, 1224, 1344, 1204, 1237, 82, 88, 79, 82, 63, 140, 0, 65,13.8,2.9,13.7,
06/29/14, 17:06:54, 1246, 1384, 1228, 1256, 89, 95, 86, 89, 65, 156, 0, 65,13.8,2.9,13.7,
06/29/14, 17:07:00, 1270, 1395, 1243, 1272, 96, 102, 94, 96, 65, 152, 0, 65,13.8,2.9,13.7,
06/29/14, 17:07:06, 1277, 1372, 1243, 1284, 102, 108, 102, 102, 67, 129, 0, 65,13.8,2.9,13.7,
06/29/14, 17:07:12, 1277, 1366, 1250, 1273, 109, 114, 109, 109, 67, 116, 0, 65,13.8,2.9,13.7,
06/29/14, 17:07:18, 1277, 1394, 1245, 1273, 114, 120, 117, 115, 69, 149, 0, 65,13.8,2.6,13.7,
06/29/14, 17:07:24, 1298, 1394, 1251, 1286, 121, 126, 124, 121, 69, 143, 0, 65,13.8,2.6,13.7,
06/29/14, 17:07:30, 1305, 1409, 1251, 1286, 127, 131, 131, 127, 71, 158, 0, 65,13.8,2.6,13.7,
06/29/14, 17:07:36, 1305, 1402, 1263, 1286, 134, 137, 138, 133, 71, 139, 0, 65,13.8,2.6,13.7,
06/29/14, 17:07:42, 1305, 1395, 1274, 1293, 139, 142, 145, 139, 73, 121, 0, 65,13.8,2.6,13.7,
06/29/14, 17:07:48, 1305, 1413, 1284, 1307, 145, 147, 151, 145, 73, 129, 0, 65,13.8,2.6,13.7,
06/29/14, 17:07:54, 1315, 1413, 1303, 1317, 151, 152, 157, 150, 75, 110, 0, 65,13.8,2.6,13.7,
06/29/14, 17:08:00, 1328, 1426, 1319, 1300, 157, 157, 164, 156, 77, 126, 0, 67,13.8,2.6,13.7,
06/29/14, 17:08:06, 1341, 1404, 1324, 1300, 162, 162, 170, 162, 77, 104, 0, 67,13.8,2.6,13.7,
06/29/14, 17:08:12, 1333, 1404, 1324, 1318, 168, 167, 176, 167, 79, 86, 0, 67,13.8,2.6,13.7,
06/29/14, 17:08:18, 1333, 1399, 1324, 1318, 174, 172, 182, 172, 79, 81, 0, 67,13.8,2.1,13.7,
06/29/14, 17:08:24, 1310, 1215, 1278, 1199, 178, 175, 188, 177, 81, 111, 0, 67,13.8,1.6,13.7,
06/29/14, 17:08:30, 1291, 1247, 1243, 1199, 182, 178, 193, 181, 81, 92, 0, 67,13.8,1.6,13.7,
06/29/14, 17:08:36, 1254, 1294, 1220, 1222, 186, 181, 198, 184, 83, 74, 0, 67,13.8,2.0,13.7,
06/29/14, 17:08:42, 1284, 1363, 1269, 1279, 190, 184, 202, 188, 83, 94, 0, 67,13.8,2.9,13.7,
06/29/14, 17:08:48, 1330, 1410, 1290, 1323, 194, 188, 206, 192, 83, 120, 0, 67,13.8,2.9,13.7,
06/29/14, 17:08:54, 1343, 1429, 1308, 1342, 199, 193, 211, 197, 85, 121, 0, 67,13.8,1.9,13.7,
06/29/14, 17:09:00, 1310, 1435, 1281, 1337, 203, 196, 216, 201, 87, 154, 0, 67,13.8,1.7,13.7,
06/29/14, 17:09:06, 1256, 1353, 1267, 1287, 206, 198, 219, 205, 87, 97, 0, 67,13.8,1.3,13.7,
06/29/14, 17:09:12, 1265, 1366, 1262, 1195, 208, 200, 223, 207, 90, 171, 0, 67,13.8,1.3,13.7,
06/29/14, 17:09:18, 1258, 1361, 1242, 1213, 210, 200, 226, 209, 90, 148, 0, 67,13.8,1.3,13.7,
06/29/14, 17:09:24, 1182, 1339, 1230, 1200, 213, 203, 228, 211, 92, 157, 0, 67,13.8,1.3,13.7,
06/29/14, 17:09:30, 1105, 1322, 1212, 1205, 213, 205, 230, 213, 92, 217, 0, 67,13.8,1.3,13.7,
