Actual Duration 0.04 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
07/10/14, 04:04:44, 1104, 1237, 1096, 1125, 87, 91, 83, 87, 80, 141, 0, 67,13.9,3.7,22.1,
07/10/14, 04:04:50, 1113, 1247, 1104, 1134, 87, 91, 83, 87, 80, 143, 0, 67,13.9,3.7,22.1,
07/10/14, 04:04:56, 1165, 1326, 1167, 1205, 93, 97, 89, 93, 80, 161, 0, 67,13.9,3.5,22.1,
07/10/14, 04:05:02, 1188, 1338, 1190, 1249, 98, 102, 95, 98, 80, 150, 0, 67,13.9,3.2,22.1,
07/10/14, 04:05:08, 1206, 1368, 1211, 1254, 104, 108, 102, 104, 82, 162, 0, 67,13.9,2.8,22.1,
07/10/14, 04:05:14, 1224, 1399, 1239, 1270, 110, 114, 109, 109, 82, 175, 0, 67,13.9,2.6,22.1,
07/10/14, 04:05:20, 1245, 1399, 1244, 1278, 115, 118, 115, 114, 82, 155, 0, 67,13.9,2.4,22.1,
07/10/14, 04:05:26, 1257, 1389, 1249, 1278, 121, 125, 122, 120, 82, 140, 0, 67,13.9,2.4,22.1,
07/10/14, 04:05:32, 1265, 1415, 1267, 1284, 127, 130, 129, 126, 84, 150, 0, 67,13.9,2.4,22.1,
07/10/14, 04:05:38, 1265, 1420, 1272, 1284, 133, 135, 136, 132, 84, 155, 0, 67,13.9,2.4,22.1,
07/10/14, 04:05:44, 1276, 1407, 1272, 1291, 139, 141, 143, 137, 86, 135, 0, 67,13.9,2.4,22.1,
07/10/14, 04:05:50, 1290, 1426, 1280, 1291, 144, 146, 149, 143, 86, 146, 0, 67,13.9,2.4,22.1,
07/10/14, 04:05:56, 1273, 1363, 1262, 1251, 152, 152, 156, 149, 88, 112, 0, 67,13.9,4.0,22.1,
07/10/14, 04:06:02, 1320, 1399, 1284, 1300, 159, 160, 163, 156, 90, 115, 0, 67,13.9,3.0,22.1,
07/10/14, 04:06:08, 1331, 1415, 1321, 1326, 165, 166, 170, 162, 90, 94, 0, 67,13.9,3.0,22.1,
07/10/14, 04:06:14, 1343, 1437, 1327, 1341, 171, 171, 176, 168, 90, 110, 0, 67,13.9,2.7,22.1,
07/10/14, 04:06:20, 1343, 1446, 1336, 1335, 176, 176, 183, 174, 92, 111, 0, 67,13.9,2.7,22.1,
07/10/14, 04:06:26, 1343, 1446, 1324, 1335, 181, 180, 189, 179, 92, 122, 0, 67,13.9,2.1,22.1,
07/10/14, 04:06:32, 1310, 1379, 1280, 1326, 185, 184, 195, 184, 94, 99, 0, 67,13.9,1.7,22.1,
07/10/14, 04:06:38, 1250, 1324, 1280, 1290, 188, 188, 200, 188, 94, 74, 0, 67,13.9,3.9,22.1,
07/10/14, 04:06:44, 1332, 1412, 1326, 1345, 193, 193, 204, 192, 94, 86, 0, 67,13.9,2.5,22.1,
07/10/14, 04:06:50, 1342, 1425, 1333, 1345, 197, 196, 209, 197, 97, 92, 0, 67,13.9,2.5,22.1,
07/10/14, 04:06:56, 1311, 1275, 1286, 1285, 200, 199, 214, 200, 97, 36, 0, 67,13.9,1.9,22.1,
07/10/14, 04:07:02, 1275, 1176, 1256, 1204, 202, 199, 218, 203, 99, 99, 0, 67,13.9,1.9,22.1,
07/10/14, 04:07:08, 1209, 1166, 1256, 1189, 204, 202, 222, 206, 99, 90, 0, 67,13.9,1.9,22.1,
07/10/14, 04:07:14, 1246, 1166, 1256, 1119, 206, 204, 225, 208, 99, 137, 0, 67,13.9,1.9,22.1,
