Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
15-Jan-2015 15:37:24.155,-0.86190647,6.59841442,6.23449945,-0.04453455,-,-,-,-0.09080335,-0.08102632,0.52380991,0.65602589,-,-,-,-,-,-
15-Jan-2015 15:37:25.154,-0.9768306,6.53137636,6.56010962,-0.03212166,-,-,-,-0.07942852,-0.09469365,0.5413819,0.65309691,-,0,-,-,-,-
15-Jan-2015 15:37:26.156,-0.79486823,6.17703247,6.72290993,-0.04681695,1442.75,-,-,-0.06278613,-0.10347965,0.58238387,0.63357258,6.13999987,0,-,-,-,-
15-Jan-2015 15:37:27.138,-0.995983,6.39729977,6.71333838,-0.04325352,1442.75,-,-,-0.0489467,-0.10152732,0.58433622,0.65212023,6.13999987,0,-,-,-,-
15-Jan-2015 15:37:28.154,-0.80444932,6.25365162,7.13472033,-0.03626018,1442.75,-,-,-0.04382596,-0.09957498,0.60874188,0.63357258,6.13999987,0,-,-,-,-
15-Jan-2015 15:37:29.153,-1.03428781,6.22491837,6.78994799,-0.0361017,1458.5,-,-,-0.05236581,-0.10933765,0.59214556,0.63747722,6.25,0,-,-,-,-
15-Jan-2015 15:37:30.140,-1.0630213,6.12915659,6.81868172,-0.04013389,1458.5,-,-,-0.05881248,-0.10836098,0.59507459,0.62478656,6.25,0,-,-,-,-
15-Jan-2015 15:37:31.140,-1.12047839,6.1195755,6.93360567,-0.03140217,1458.5,-,-,-0.06302848,-0.11226565,0.60678953,0.60428554,6.25,0,-,-,-,-
15-Jan-2015 15:37:32.139,-1.27370739,6.00465107,6.55052853,-0.0473147,2902.25,0.05377513,-,-0.07850154,-0.12788531,0.57555026,0.61307156,32.00999832,0,-,-,-,-
15-Jan-2015 15:37:33.141,3.46679807,1.0630213,9.74918365,0.0793156,2902.25,0.05377513,-,0.06067779,0.35339427,0.89380056,0.10836098,32.00999832,0,-,-,-,-
