Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
15-Jan-2015 17:28:36.556,1.46525085,3.74452233,5.5162406,-0.28515673,2486.5,0.01858023,16.51748276,0.27962017,-0.18255463,1.03242517,0.56621253,-,30.44718933,-,-,-,-
15-Jan-2015 17:28:37.554,-0.94809717,3.67749381,8.09239864,-0.06976396,2486.5,0.01858023,16.51748276,-0.08171529,-0.023429,0.73272252,0.38561028,4.4000001,30.44718933,-,-,-,-
15-Jan-2015 17:28:38.553,-0.76614457,3.62002683,7.86255074,-0.09519756,2080.25,0.01858023,-,-0.11389492,-0.07809832,0.70148325,0.36901394,4.4000001,29.20444679,-,-,-,-
15-Jan-2015 17:28:39.562,-0.45968673,3.44764566,7.55609274,-0.0863463,2080.25,0.01858023,-,-0.09988286,-0.026358,0.72198421,0.36510926,4.4000001,29.20444679,-,-,-,-
15-Jan-2015 17:28:40.571,-0.3351815,3.05499721,7.76678848,-0.12954789,2080.25,0.01858023,-,-0.01144719,-0.10055065,0.81960684,0.34753728,4.11999989,29.20444679,-,-,-,-
15-Jan-2015 17:28:41.554,-0.55544865,3.57214093,7.31667328,-0.14909071,1893.75,0.01858023,-,-0.16780646,-0.05662065,0.64583826,0.36413258,4.11999989,26.71896172,-,-,-,-
15-Jan-2015 17:28:42.554,-1.40778387,3.75410342,9.11711502,0.03426665,1893.75,0.01858023,-,-0.1653496,0.11324232,0.63119519,0.38561028,4.11999989,26.71896172,-,-,-,-
15-Jan-2015 17:28:43.563,2.94007301,2.8826158,2.62404394,-0.05662492,1893.75,0.01858023,-,-0.35109895,0.06638332,0.47597426,0.29091561,4.11999989,26.71896172,-,-,-,-
15-Jan-2015 17:28:44.555,-0.88105887,2.844311,7.97747469,0.04128828,1907,0.01041568,-,-0.13170418,-0.08981232,0.71319818,0.28993994,6.19999981,26.71896172,-,-,-,-
15-Jan-2015 17:28:45.554,-1.32159317,2.71980572,9.76833534,0.06137198,1907,0.01041568,-,-0.25360638,-0.12983765,0.58433622,0.26748663,6.19999981,26.71896172,-,-,-,-
15-Jan-2015 17:28:46.559,-2.48038626,4.39575243,10.34294701,0.19216591,1907,0.01041568,-,-0.19313839,-0.12007598,0.68195885,0.15717231,6.19999981,26.71896172,-,-,-,-
15-Jan-2015 17:28:47.555,-0.01915239,1.81001341,6.10999441,-0.33140945,1880.25,0.00846694,-,-0.35018751,-0.00195233,0.52283323,0.18450697,5.03999996,27.34033203,-,-,-,-
15-Jan-2015 17:28:48.560,-2.11647129,4.78840113,12.77545643,0.01627007,1876.5,0.00833254,-,-0.14937921,-0.11909931,0.69464952,0.27822495,4.96000004,26.09758949,-,-,-,-
15-Jan-2015 17:28:49.560,-0.995983,2.09731889,8.52335167,-0.08049786,1830.25,0.00411587,-,-0.06185726,-0.07419266,0.7659142,0.3524186,2.45000005,26.09758949,-,-,-,-
15-Jan-2015 17:28:50.557,-1.75254643,3.96478939,10.3908329,0.16668504,1785,0.00351109,-,0.14807719,-0.17864896,0.95920819,0.40415794,2.08999991,25.47621918,-,-,-,-
15-Jan-2015 17:28:51.557,0.20110498,3.0837307,5.05655384,-0.37691313,1692,0.00356149,-,-0.00326197,-0.09176465,0.81374985,0.38658595,2.11999989,24.85484695,-,-,-,-
15-Jan-2015 17:28:52.554,-3.36145496,2.9305017,11.62623501,-0.03793052,1641.25,0.02110015,-,-0.02372978,-0.15326765,0.80594051,0.32898861,12.56000042,24.23347664,-,-,-,-
15-Jan-2015 17:28:53.554,-1.79086101,2.73895812,5.41088772,-0.08101605,1785,0.0257872,-,-0.35518146,-0.18255463,0.45156857,0.27920061,15.35000038,23.61210442,-,-,-,-
15-Jan-2015 17:28:54.561,-1.33117437,4.13718081,8.25519943,-0.02999687,1964.75,0.03175102,31.50453568,-0.06085332,-0.20403129,0.72003186,0.40903926,18.89999962,24.85484695,-,-,-,-
