Actual Duration 0.08 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
05/26/14, 22:53:50, 1324, 1409, 1298, 1321, 133, 134, 129, 127, 81, 111, 0, 86,13.8,2.8,33.2,
05/26/14, 22:53:56, 1324, 1409, 1298, 1321, 135, 134, 129, 127, 81, 111, 0, 86,13.8,2.8,33.2,
05/26/14, 22:54:02, 1337, 1425, 1298, 1332, 141, 142, 138, 135, 81, 127, 0, 86,13.8,2.8,33.2,
05/26/14, 22:54:08, 1344, 1425, 1307, 1346, 149, 149, 146, 143, 84, 118, 0, 86,13.8,2.8,33.2,
05/26/14, 22:54:14, 1355, 1430, 1319, 1359, 156, 157, 154, 151, 84, 111, 0, 86,13.8,2.8,33.2,
05/26/14, 22:54:20, 1355, 1430, 1319, 1359, 163, 163, 161, 157, 87, 111, 0, 86,13.8,2.8,33.2,
05/26/14, 22:54:26, 1355, 1430, 1319, 1366, 169, 170, 169, 164, 87, 111, 0, 86,13.8,2.8,33.2,
05/26/14, 22:54:32, 1355, 1423, 1326, 1366, 176, 176, 176, 171, 90, 97, 0, 86,13.8,1.5,33.2,
05/26/14, 22:54:38, 1327, 1401, 1326, 1349, 181, 181, 183, 177, 90, 75, 0, 86,13.8,3.5,33.2,
05/26/14, 22:54:44, 1362, 1438, 1326, 1378, 188, 188, 190, 184, 92, 112, 0, 86,13.8,3.1,33.2,
05/26/14, 22:54:50, 1371, 1446, 1326, 1378, 195, 194, 196, 191, 92, 120, 0, 86,13.8,3.1,33.2,
05/26/14, 22:54:56, 1371, 1441, 1326, 1378, 201, 200, 204, 197, 95, 115, 0, 86,13.8,2.8,33.2,
05/26/14, 22:55:02, 1353, 1441, 1326, 1363, 206, 204, 209, 203, 95, 115, 0, 86,13.8,2.2,33.2,
05/26/14, 22:55:08, 1353, 1432, 1326, 1345, 211, 208, 215, 208, 98, 106, 0, 86,13.8,2.2,33.2,
05/26/14, 22:55:14, 1353, 1432, 1336, 1345, 216, 212, 221, 212, 98, 96, 0, 88,13.8,2.2,33.2,
