Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
16-Jan-2015 06:15:11.623,-0.90979236,2.61446285,8.73404789,-0.04703015,-,-,-,-0.12112013,-0.03026266,0.75517589,0.19914997,-,-,-,-,-,-
16-Jan-2015 06:15:12.621,-1.91535652,2.36546206,8.16900826,-0.09235495,-,-,-,-0.14200822,-0.16986297,0.70538884,0.24112763,-,0,-,-,-,-
16-Jan-2015 06:15:13.615,-1.37906015,2.29843354,7.64228344,-0.15544349,1496.75,-,-,-0.17416143,-0.14057697,0.67902988,0.23429495,6.53000021,0,-,-,-,-
16-Jan-2015 06:15:14.629,-1.52270806,2.37504315,8.30308437,-0.08284938,1496.75,-,-,-0.12489578,-0.14643398,0.73272252,0.22453231,6.53000021,0,-,-,-,-
16-Jan-2015 06:15:15.637,-0.87148762,1.90577543,8.70531464,-0.06825876,1496.75,-,-,-0.05387572,-0.07224032,0.81960684,0.20891263,6.53000021,0,-,-,-,-
16-Jan-2015 06:15:16.613,-1.18751669,2.46123385,8.28393269,-0.09180135,1515.5,-,-,-0.11141586,-0.10347965,0.74443758,0.25089028,6.32000017,0,-,-,-,-
16-Jan-2015 06:15:17.611,-1.9823947,3.28483558,8.55208588,-0.02551883,1515.5,-,-,-0.11803055,-0.19134064,0.70929354,0.29286796,6.32000017,0,-,-,-,-
16-Jan-2015 06:15:18.613,-1.01513541,2.53785324,8.49461842,-0.06680141,1515.5,-,-,-0.10974498,-0.09274132,0.75615251,0.22453231,6.32000017,0,-,-,-,-
16-Jan-2015 06:15:19.613,-1.17794538,2.7964251,8.28393269,-0.07641108,1507.75,0.01120525,-,-0.10038669,-0.12007598,0.74443758,0.28505862,6.67000008,2.48548484,-,-,-,-
16-Jan-2015 06:15:20.615,0.01915239,2.39419556,8.91600037,-0.03993177,1507.75,0.01120525,-,-0.14596562,0.017572,0.72881788,0.20403129,6.67000008,2.48548484,-,-,-,-
16-Jan-2015 06:15:21.617,-1.51312697,1.68551803,8.94473362,-0.04042226,1507.75,0.01120525,-,0.04014537,-0.1630293,0.91039681,0.1835303,6.67000008,2.48548484,-,-,-,-
16-Jan-2015 06:15:22.625,-2.72938681,1.59931755,8.02536011,-0.10165834,1471,0.01108766,-,-0.12035796,-0.27822495,0.71807951,0.1630293,6.5999999,3.72822714,-,-,-,-
16-Jan-2015 06:15:23.614,-1.37906015,2.33673835,8.55208588,-0.08820029,1471,0.01209563,-,-0.07859293,-0.11812364,0.78446293,0.22843698,7.19999981,3.72822714,-,-,-,-
16-Jan-2015 06:15:24.621,-1.36947906,2.28885245,8.62869549,-0.06035382,1486.5,0.01209563,-,-0.11262092,-0.10933765,0.75420022,0.2128173,7.19999981,1.86411357,-,-,-,-
16-Jan-2015 06:15:25.612,-1.20666909,1.9536612,8.80107594,-0.0538134,1546.75,0.01204523,-,-0.08919252,-0.12300398,0.79715347,0.19914997,7.17000008,1.86411357,-,-,-,-
16-Jan-2015 06:15:26.611,-1.33117437,2.04943299,8.68616199,-0.06118429,1568.75,0.01229722,-,-0.13779604,-0.15619664,0.72198421,0.20696029,7.32000017,1.86411357,-,-,-,-
16-Jan-2015 06:15:27.612,-1.34074557,2.41334796,8.68616199,-0.08097868,1582,0.01228042,-,-0.08266289,-0.14545731,0.7776292,0.22257997,7.30999994,0,-,-,-,-
16-Jan-2015 06:15:28.612,-1.62805104,2.34630966,8.4180088,-0.09068909,1631.25,0.01233082,-,-0.09354975,-0.1659583,0.75810486,0.23917529,7.34000015,0,-,-,-,-
16-Jan-2015 06:15:29.615,-1.30244088,2.14520478,8.49461842,-0.07808626,1667.75,0.01199483,-,-0.08459398,-0.15131532,0.77958155,0.20207897,7.13999987,0,-,-,-,-
16-Jan-2015 06:15:30.611,-2.05900431,2.52827215,8.42759037,-0.05986166,1610,0.01537152,-,-0.06929157,-0.24210429,0.7659142,0.23917529,9.14999962,0,-,-,-,-
16-Jan-2015 06:15:31.611,-1.82916582,2.65276766,7.98705578,-0.10306388,1044.5,0.01550592,-,0.00387218,-0.13471897,0.71417487,0.27041462,9.22999954,0,-,-,-,-
16-Jan-2015 06:15:32.616,-1.35989797,3.26568317,9.21288681,-0.04773311,1079.5,0.01354038,-,-0.13309205,-0.16986297,0.71222252,0.24991462,8.06000042,3.72822714,-,-,-,-
16-Jan-2015 06:15:33.612,-2.05900431,2.41334796,8.21689415,-0.08313936,846.75,0.01469955,96.67591858,-0.0969594,-0.19329298,0.72198421,0.31922594,8.75,6.83508301,-,-,-,-
16-Jan-2015 06:15:34.613,-2.48038626,1.91535652,8.59039021,-0.04887336,1203.75,0.01345638,96.67591858,-0.06755491,-0.25284263,0.77567685,0.19524531,8.01000023,6.83508301,-,-,-,-
16-Jan-2015 06:15:35.617,-2.57615805,1.99197578,8.84896183,-0.01982367,1453.75,0.01794185,6.35294199,-0.05873888,-0.23038928,0.78348714,0.22746131,10.68000031,6.83508301,-,-,-,-
16-Jan-2015 06:15:36.612,-2.28885245,1.58974624,7.76678848,-0.04365871,1591.25,0.02062976,11.84167671,-0.02776328,-0.24503329,0.80984521,0.23819962,12.27999973,8.07782555,-,-,-,-
16-Jan-2015 06:15:37.614,-2.87303472,3.29441667,7.95832205,-0.05621204,1685.75,0.02009218,12.78228474,-0.07412019,-0.29286796,0.71124583,0.33582228,11.96000004,9.32056808,-,-,-,-
