Actual Duration 0.05 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
06/07/14, 16:45:52, 1287, 1326, 1283, 1282, 156, 155, 163, 153, 72, 44, 0, 59,13.8,2.6,12.1,
06/07/14, 16:45:58, 1287, 1351, 1295, 1291, 156, 155, 163, 153, 72, 64, 0, 59,13.8,2.6,12.1,
06/07/14, 16:46:04, 1308, 1401, 1307, 1313, 162, 161, 170, 160, 72, 94, 0, 59,13.8,2.6,12.1,
06/07/14, 16:46:10, 1332, 1411, 1319, 1330, 166, 165, 176, 165, 75, 92, 0, 59,13.8,2.6,12.1,
06/07/14, 16:46:16, 1332, 1411, 1333, 1330, 171, 170, 183, 170, 75, 81, 0, 59,13.8,2.6,12.1,
06/07/14, 16:46:22, 1348, 1411, 1333, 1330, 176, 175, 188, 175, 77, 81, 0, 59,13.8,2.3,12.1,
06/07/14, 16:46:28, 1348, 1420, 1333, 1318, 180, 179, 193, 180, 77, 102, 0, 59,13.8,2.3,12.1,
06/07/14, 16:46:34, 1348, 1430, 1333, 1335, 185, 183, 198, 185, 79, 97, 0, 59,13.8,2.3,12.1,
06/07/14, 16:46:40, 1348, 1423, 1339, 1340, 189, 187, 203, 189, 79, 84, 0, 59,13.8,2.3,12.1,
06/07/14, 16:46:46, 1358, 1423, 1339, 1340, 193, 191, 208, 194, 81, 84, 0, 59,13.8,2.3,12.1,
06/07/14, 16:46:52, 1364, 1435, 1339, 1340, 198, 194, 213, 198, 83, 96, 0, 59,13.8,2.3,12.1,
06/07/14, 16:46:58, 1378, 1441, 1339, 1340, 201, 198, 217, 202, 83, 102, 0, 59,13.8,2.3,12.1,
06/07/14, 16:47:04, 1378, 1441, 1339, 1340, 205, 202, 222, 206, 85, 102, 0, 59,13.8,2.3,12.1,
06/07/14, 16:47:10, 1351, 1420, 1366, 1357, 209, 205, 226, 211, 85, 69, 0, 59,13.8,4.5,12.1,
06/07/14, 16:47:16, 1380, 1456, 1366, 1365, 213, 210, 230, 215, 85, 91, 0, 59,13.8,2.4,12.1,
06/07/14, 16:47:22, 1348, 1439, 1354, 1350, 216, 213, 234, 219, 88, 91, 0, 59,13.8,2.4,12.1,
06/07/14, 16:47:28, 1271, 1398, 1327, 1340, 219, 215, 239, 222, 90, 127, 0, 59,13.8,2.7,12.1,
06/07/14, 16:47:34, 1348, 1431, 1359, 1359, 222, 218, 242, 225, 92, 83, 0, 59,13.8,2.7,12.1,
06/07/14, 16:47:40, 1362, 1444, 1359, 1359, 226, 221, 246, 229, 94, 85, 0, 59,13.8,2.3,12.1,
06/07/14, 16:47:46, 1357, 1444, 1359, 1359, 229, 224, 249, 232, 94, 87, 0, 59,13.8,1.9,12.1,
06/07/14, 16:47:52, 1323, 1457, 1320, 1378, 231, 226, 253, 234, 96, 137, 0, 59,13.8,1.9,12.1,
06/07/14, 16:47:58, 1315, 1435, 1299, 1386, 233, 226, 255, 237, 96, 136, 0, 59,13.8,1.9,12.1,
06/07/14, 16:48:04, 1315, 1443, 1292, 1368, 233, 229, 258, 239, 98, 151, 0, 59,13.8,1.7,12.1,
06/07/14, 16:48:10, 1309, 1437, 1287, 1377, 236, 231, 261, 241, 98, 150, 0, 59,13.8,1.7,12.1,
06/07/14, 16:48:16, 1324, 1426, 1287, 1365, 238, 231, 263, 243, 100, 139, 0, 59,13.8,1.7,12.1,
06/07/14, 16:48:22, 1333, 1426, 1281, 1360, 238, 234, 266, 245, 100, 145, 0, 59,13.8,1.7,12.1,
06/07/14, 16:48:28, 1344, 1409, 1272, 1348, 241, 234, 268, 247, 103, 137, 0, 59,13.8,1.7,12.1,
06/07/14, 16:48:34, 1325, 1383, 1272, 1358, 241, 237, 270, 247, 103, 111, 0, 59,13.8,1.7,12.1,
06/07/14, 16:48:40, 1295, 1388, 1272, 1324, 243, 237, 272, 250, 105, 116, 0, 59,13.8,1.7,12.1,
