Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
15-Jan-2015 17:00:08.471,1.24498367,-3.42849326,8.8585434,-0.01415006,1625.75,0.02227611,11.02710342,-0.02310155,0.12690964,0.80301154,-0.3494896,13.26000023,3.10685587,-,-,-,-
15-Jan-2015 17:00:09.479,0.96724951,-2.65276766,8.87769604,0.0137141,1528.75,0.01532113,30.73436356,-0.14204033,0.15814897,0.70831686,-0.23917529,9.11999989,6.83508301,-,-,-,-
15-Jan-2015 17:00:10.478,2.72938681,-1.58016515,8.97346783,-0.01142299,2087.5,0.03212061,30.73436356,-0.02086652,0.22257997,0.8401078,-0.15717231,19.12000084,8.07782555,-,-,-,-
15-Jan-2015 17:00:11.472,-0.20110498,-0.50756282,8.99261951,-0.0626334,2466.25,0.01049967,36.12274551,-0.08131967,-0.0205,0.81667882,-0.05173933,6.25,11.80605221,-,-,-,-
15-Jan-2015 17:00:12.492,-0.41180086,-1.18751669,8.30308437,-0.12496769,2412.5,0.00818135,31.91781807,-0.07789057,-0.00488033,0.81863117,-0.07614499,4.86999989,14.29153728,-,-,-,-
15-Jan-2015 17:00:13.476,-0.10534304,-0.59375346,8.73404789,-0.06886688,2125.75,0.00814775,7.2790451,-0.06976422,-0.04197766,0.82741725,-0.05369166,4.8499999,14.29153728,-,-,-,-
15-Jan-2015 17:00:14.473,-0.22025737,-0.1819526,8.59039021,-0.10483903,1973.25,0.00695499,7.2790451,-0.06350039,-0.03514399,0.83522648,-0.023429,4.13999987,12.42742348,-,-,-,-
15-Jan-2015 17:00:15.473,-0.14364782,-0.46925801,9.76833534,0.01600862,1711.5,0.00673659,7.2790451,-0.076561,-0.01952433,0.81960684,-0.07809832,4.01000023,10.56331062,-,-,-,-
15-Jan-2015 17:00:16.474,0.04787607,-1.10132611,8.64784718,-0.0923329,1472.5,0.0065854,-,-0.06452882,-0.008786,0.83327419,-0.05857299,3.92000008,10.56331062,-,-,-,-
15-Jan-2015 17:00:17.473,0.23941956,-0.32561022,8.71488571,-0.06187751,1355.25,0.00663579,-,-0.11037384,0.02440566,0.78836751,-0.03319166,3.95000005,8.07782555,-,-,-,-
15-Jan-2015 17:00:18.472,-0.23941956,-0.1723813,8.78192425,-0.05624747,1183.5,0.006535,-,-0.06539206,-0.09176465,0.82936949,-0.02733366,3.8900001,7.45645428,-,-,-,-
15-Jan-2015 17:00:19.471,-0.09576194,-0.70867759,8.96388626,-0.06434703,1212.5,0.006451,-,-0.09458687,0.00195233,0.80398715,-0.04490566,3.83999991,6.83508301,-,-,-,-
15-Jan-2015 17:00:20.483,-0.6607917,-0.39264846,9.09796333,-0.05027878,1191.25,0.0064678,-,-0.15212797,-0.00195233,0.82741725,-0.04002532,3.8499999,3.72822714,-,-,-,-
15-Jan-2015 17:00:21.469,0.363915,-0.53629631,8.78192425,-0.08336425,1170.25,0.0065014,-,-0.11152915,0.02147666,0.7873919,-0.03026266,3.86999989,1.86411357,-,-,-,-
15-Jan-2015 17:00:22.473,-0.43095323,-0.24899085,8.97346783,-0.06760993,1169.5,0.0064006,-,-0.08492028,-0.04295333,0.81374985,0.00390467,3.80999994,1.86411357,-,-,-,-
15-Jan-2015 17:00:23.486,0.16280021,-0.57460105,8.80107594,-0.08178335,1182,0.0064006,-,-0.11255272,0.01659533,0.79715347,-0.05857299,3.80999994,1.86411357,-,-,-,-
15-Jan-2015 17:00:24.471,0.6607917,-0.58418214,8.67658138,-0.0424946,1183.5,0.0063502,-,-0.06117402,-0.01952433,0.83717978,-0.04588233,3.77999997,0,-,-,-,-
15-Jan-2015 17:00:25.472,0.30645782,-0.71825868,9.43315411,-0.01612526,1178,0.0063166,-,-0.10325982,0.08005065,0.78934413,-0.07907399,3.75999999,0,-,-,-,-
15-Jan-2015 17:00:26.473,0.6607917,-0.52671516,8.82023811,-0.06496575,1175.75,0.0063166,-,-0.05450143,0.002928,0.84498912,-0.01854767,3.75999999,0,-,-,-,-
15-Jan-2015 17:00:27.482,0.47883913,-0.91937345,9.17457199,-0.06336195,1159.25,0.00626621,-,-0.06837071,0.03319166,0.83034623,-0.026358,3.73000002,0,-,-,-,-
15-Jan-2015 17:00:28.471,0.22025737,-0.71825868,9.25119209,-0.10595816,1157.75,0.00623261,-,-0.07152147,0.02147666,0.82546484,-0.06735899,3.71000004,0,-,-,-,-
15-Jan-2015 17:00:29.492,-0.13406672,-0.46925801,8.55208588,-0.10780948,1140.5,0.00616541,-,-0.06173971,0.04295333,0.83327419,-0.08297865,3.67000008,0,-,-,-,-
15-Jan-2015 17:00:30.476,0.45968673,-0.44052455,8.78192425,-0.08344918,1128.75,0.00623261,-,-0.12160343,0.01561966,0.77665359,-0.04783466,3.71000004,0,-,-,-,-
15-Jan-2015 17:00:31.487,0.25857195,-0.62248695,9.18415356,-0.06658975,1140.5,0.00616541,-,-0.12343337,0.08493099,0.77177221,-0.02538133,3.67000008,0,-,-,-,-
15-Jan-2015 17:00:32.485,0.3160291,-0.69910628,9.18415356,-0.04153585,1148.25,0.00618221,-,-0.0424304,0.00780933,0.8537752,-0.08102632,3.68000007,0,-,-,-,-
15-Jan-2015 17:00:33.469,0.70867759,-0.67037278,8.82981014,-0.07544106,1142.75,0.00613181,-,-0.09413169,0.07224032,0.80008256,-0.06833565,3.6500001,0,-,-,-,-
15-Jan-2015 17:00:34.469,0.08619065,-0.3351815,9.17457199,-0.04510838,1157,0.00613181,-,-0.02253094,0.05173933,0.87134719,-0.09274132,3.6500001,0,-,-,-,-
15-Jan-2015 17:00:35.474,0.3160291,-0.50756282,8.95430565,-0.06242281,1149,0.00604781,-,-0.05993491,0.008786,0.83620316,-0.08102632,3.5999999,0,-,-,-,-
15-Jan-2015 17:00:36.487,-0.11491433,-0.51714391,9.34696388,-0.05210793,1151.5,0.00613181,-,-0.05561173,0.05369166,0.83913219,-0.08005065,3.6500001,0,-,-,-,-
15-Jan-2015 17:00:37.473,0.37348628,-0.91937345,9.1554203,-0.04225975,1140.5,0.00604781,-,-0.09549347,0.04197766,0.80105919,-0.06247865,3.5999999,0,-,-,-,-
15-Jan-2015 17:00:38.469,0.37348628,-0.28729564,8.94473362,-0.06793827,1143.75,0.00599741,-,-0.07621321,0.02733366,0.82156014,-0.05271599,3.56999993,0,-,-,-,-
15-Jan-2015 17:00:39.472,0.29687673,-0.69910628,9.33738232,-0.0260334,1146,0.00604781,-,-0.10356385,0.03611966,0.79422545,-0.04588233,3.5999999,0,-,-,-,-
15-Jan-2015 17:00:40.470,0.89063996,-0.89063996,9.1554203,-0.06016825,1145.25,0.00603101,-,-0.08786961,0.00488033,0.8117975,-0.00390467,3.58999991,0,-,-,-,-
15-Jan-2015 17:00:41.471,2.43250036,-0.68952519,8.42759037,-0.0658437,1477.25,0.01532113,-,0.03504713,0.16791064,0.91918284,-0.06052532,9.11999989,0,-,-,-,-
15-Jan-2015 17:00:42.473,2.04943299,-0.363915,8.84896183,-0.05434614,953.75,0.01374198,12.0298624,-0.15793607,0.18743597,0.71710289,-0.07614499,8.18000031,2.48548484,-,-,-,-
15-Jan-2015 17:00:43.476,1.22583127,-0.67037278,8.95430565,-0.05718237,1536.5,0.01516993,12.0298624,-0.09428697,0.14643398,0.79129648,-0.06247865,9.02999973,5.59234095,-,-,-,-
15-Jan-2015 17:00:44.470,0.93852586,-0.80444932,9.59595394,-0.06587134,1713.25,0.01486754,44.94952393,-0.06520185,0.10933765,0.82351249,-0.09176465,8.85000038,8.69919682,-,-,-,-
15-Jan-2015 17:00:45.473,1.63763213,-1.0438689,8.96388626,-0.07717146,2101.5,0.0258712,24.47939491,-0.13727921,0.10055065,0.74443758,-0.14350498,15.39999962,9.94193935,-,-,-,-
15-Jan-2015 17:00:46.494,1.17794538,0.23941956,8.88727665,-0.06681073,2367,0.02143614,24.79950142,-0.16440891,0.10152732,0.72784215,0.04588233,12.76000023,12.42742348,-,-,-,-
15-Jan-2015 17:00:47.471,1.43651736,1.16836429,8.54250431,-0.21219242,2529.5,0.01196123,27.59568787,-0.13434194,0.06150199,0.75908154,0.08395532,7.11999989,14.91290855,-,-,-,-
15-Jan-2015 17:00:48.469,0.34476259,1.56101274,9.75876427,-0.03826827,2492.75,0.01763945,27.59568787,0.00838076,0.03514399,0.89477718,0.15912464,10.5,14.91290855,-,-,-,-
15-Jan-2015 17:00:49.470,0.22983846,1.64720345,9.08838177,-0.071427,2519.5,0.01270041,27.59568787,-0.09652771,0.011714,0.79032087,0.15131532,7.55999994,14.29153728,-,-,-,-
15-Jan-2015 17:00:50.471,1.49397457,1.93450892,8.48504734,-0.05785078,2476.5,0.01695068,-,-0.07053703,0.12007598,0.80105919,0.19231631,10.09000015,13.67016602,-,-,-,-
15-Jan-2015 17:00:51.473,1.13005948,0.75656348,13.54160118,0.40633088,2906.25,0.03175101,6.449821,-0.06926448,0.15424332,0.80594051,0.14545731,18.89999962,14.91290855,-,-,-,-
15-Jan-2015 17:00:52.471,0.40221977,-0.363915,8.28393269,-0.03269082,3129.5,0.00809735,25.64284325,0.00627799,-0.01952433,0.90551549,0.02147666,4.82000017,17.39839363,-,-,-,-
15-Jan-2015 17:00:53.473,2.30800486,-0.89063996,8.09239864,-0.07446495,2189.75,0.05854619,19.66457176,-0.1191062,0.18841164,0.75322354,-0.10933765,34.84999847,18.64113617,-,-,-,-
15-Jan-2015 17:00:54.488,1.89620411,0.67037278,7.94874096,-0.08441255,2245.25,0.03779883,19.66457176,-0.04419893,0.15131532,0.83913219,-0.08981232,22.5,19.88387871,-,-,-,-
15-Jan-2015 17:00:55.473,0.75656348,0.25857195,8.43716145,-0.11708981,2546.75,0.02750075,39.0096283,-0.24920645,0.20696029,0.62143254,-0.002928,16.37000084,23.61210442,-,-,-,-
15-Jan-2015 17:00:56.469,0.45968673,-0.22983846,9.50976372,-0.01019055,2578.75,0.01584191,66.43765259,-0.03287062,0,0.86646587,0.02538133,9.43000031,24.85484695,-,-,-,-
15-Jan-2015 17:00:57.467,0.95767826,-0.56502974,8.14028454,-0.05486037,2629.5,0.01997458,66.43765259,-0.16221368,0.09762266,0.7297945,-0.05759732,11.89000034,24.85484695,-,-,-,-
15-Jan-2015 17:00:58.470,0.25857195,-0.15322891,8.71488571,-0.08673284,2610.75,0.01868102,66.43765259,-0.12643065,0.06735899,0.76689088,-0.08102632,11.11999989,24.85484695,-,-,-,-
15-Jan-2015 17:00:59.471,1.32159317,-0.21068607,8.83939075,0.07731861,2582,0.01868102,-,-0.04819943,0.09176465,0.84694147,-0.01366633,11.11999989,24.85484695,-,-,-,-
15-Jan-2015 17:01:00.469,0.53629631,-0.55544865,8.64784718,-0.09595966,2553.75,0.01836183,-,-0.1146573,0.05466833,0.78153384,-0.05662065,10.93000031,25.47621918,-,-,-,-
15-Jan-2015 17:01:01.481,1.21625018,0.44052455,9.3756876,-0.01621878,2526.5,0.01876502,11.4578371,-0.00199545,0.07809832,0.88696682,-0.12300398,11.17000008,24.23347664,-,-,-,-
15-Jan-2015 17:01:02.470,1.73339403,0.00957129,8.38927555,-0.05017333,2607,0.03311177,11.4578371,-0.00010434,0.13569565,0.8898958,-0.02831033,19.70999908,24.23347664,-,-,-,-
15-Jan-2015 17:01:03.473,0.61291564,0.05745716,9.40442085,-0.05583153,2640.5,0.01439715,10.9877367,-0.05023159,0.01366633,0.84889388,-0.029286,8.56999969,24.85484695,-,-,-,-
15-Jan-2015 17:01:04.474,1.49397457,-0.26814324,7.92958879,-0.15800798,2571.75,0.01558992,10.9877367,-0.02772373,0.08200298,0.86841917,0.01073833,9.27999973,24.85484695,-,-,-,-
